outcome,category_name,goal_in_thousand,total
failed,"Film & Video",0,1
failed,Publishing,0,3
successful,Art,0,1
successful,Design,0,2
successful,Food,0,1
successful,Games,0,1
successful,Music,0,2
successful,Photography,0,1
successful,Publishing,0,1
successful,Crafts,0,1
failed,Music,0,1
successful,"Film & Video",0,1
successful,Crafts,0,1
successful,Art,0,2
successful,Design,0,1
successful,Games,0,1
failed,Theater,0,1
failed,Art,0,2
failed,Food,0,4
failed,Music,0,1
successful,Art,0,1
successful,Food,0,3
successful,Games,0,1
successful,Music,0,2
successful,Photography,0,1
failed,Crafts,0,1
failed,Food,0,1
successful,Food,0,2
successful,Games,0,1
failed,Food,0,2
failed,Games,0,1
successful,Fashion,0,1
failed,Food,0,2
successful,Art,0,1
successful,Comics,0,1
successful,Crafts,0,1
successful,Design,0,1
successful,Fashion,0,2
successful,"Film & Video",0,1
successful,Fashion,0,1
failed,Publishing,0,1
successful,Design,0,1
successful,"Film & Video",0,2
successful,Food,0,1
successful,Games,0,1
successful,Publishing,0,1
successful,Theater,0,1
failed,Art,0,1
failed,Food,0,3
successful,Design,0,1
successful,Music,0,1
failed,Food,0,1
successful,Art,0,1
failed,Art,0,1
failed,Food,0,1
successful,Crafts,0,1
failed,Comics,0,2
failed,Crafts,0,1
failed,"Film & Video",0,1
failed,Music,0,1
failed,Photography,0,1
failed,Theater,0,1
successful,Comics,0,2
successful,Crafts,0,1
successful,"Film & Video",0,1
successful,Food,0,2
successful,Games,0,2
successful,Music,0,1
successful,Publishing,0,1
successful,Art,0,1
failed,Art,0,1
failed,Design,0,1
failed,Journalism,0,1
failed,Music,0,1
failed,Music,0,1
successful,Games,0,1
failed,Technology,0,1
successful,Comics,0,2
successful,Photography,0,1
failed,Art,0,3
failed,Design,0,1
failed,Fashion,0,4
failed,"Film & Video",0,5
failed,Food,0,7
failed,Games,0,1
failed,Journalism,0,1
failed,Music,0,3
failed,Publishing,0,6
failed,Technology,0,1
successful,Art,0,5
successful,Crafts,0,1
successful,Design,0,1
successful,Fashion,0,2
successful,"Film & Video",0,2
successful,Food,0,3
successful,Games,0,3
successful,Music,0,2
successful,Photography,0,1
successful,Publishing,0,6
successful,Technology,0,1
successful,Art,0,1
successful,Crafts,0,1
successful,Comics,0,1
failed,Publishing,0,1
successful,Publishing,0,1
failed,Crafts,0,1
failed,Technology,0,1
successful,Art,0,1
failed,Publishing,0,1
successful,Art,0,1
successful,Photography,0,1
failed,Crafts,0,2
failed,Design,0,1
failed,"Film & Video",0,1
failed,Music,0,1
failed,Theater,0,1
successful,Art,0,6
successful,Comics,0,1
successful,Fashion,0,3
successful,"Film & Video",0,2
successful,Publishing,0,2
successful,Technology,0,1
failed,Games,0,1
successful,Photography,0,1
successful,Music,0,1
failed,Art,0,4
failed,Comics,0,2
failed,Crafts,0,3
failed,Design,0,2
failed,Fashion,0,1
failed,"Film & Video",0,2
failed,Food,0,2
failed,Games,0,1
failed,Photography,0,2
failed,Publishing,0,1
successful,Art,0,6
successful,Comics,0,2
successful,Crafts,0,3
successful,Design,0,1
successful,Fashion,0,1
successful,"Film & Video",0,3
successful,Food,0,1
successful,Games,0,5
successful,Music,0,3
successful,Publishing,0,3
successful,Theater,0,1
failed,Technology,0,1
failed,Crafts,0,1
failed,Fashion,0,1
failed,Publishing,0,1
successful,Design,0,1
successful,"Film & Video",0,1
failed,Publishing,0,1
failed,Art,0,5
failed,Crafts,0,2
failed,Fashion,0,1
failed,Games,0,1
failed,Music,0,3
failed,Publishing,0,3
failed,Technology,0,2
successful,Art,0,3
successful,Comics,0,1
successful,Crafts,0,2
successful,Fashion,0,1
successful,Food,0,2
successful,Games,0,4
successful,Music,0,4
successful,Photography,0,2
successful,Publishing,0,5
successful,Technology,0,1
successful,Comics,0,1
successful,Fashion,0,1
failed,Publishing,0,1
successful,"Film & Video",0,1
successful,Games,0,1
failed,Fashion,0,1
failed,Art,0,3
failed,Comics,0,4
failed,Crafts,0,3
failed,Design,0,3
failed,"Film & Video",0,5
failed,Food,0,2
failed,Music,0,6
failed,Publishing,0,6
successful,Art,0,6
successful,Comics,0,4
successful,Crafts,0,4
successful,Design,0,2
successful,Fashion,0,1
successful,"Film & Video",0,4
successful,Food,0,1
successful,Games,0,2
successful,Music,0,8
successful,Photography,0,2
successful,Publishing,0,1
successful,Technology,0,1
successful,Theater,0,6
failed,"Film & Video",0,1
failed,Art,0,1
successful,Art,0,1
successful,Fashion,0,1
successful,Music,0,1
successful,Art,0,1
successful,Music,0,1
failed,Publishing,0,1
failed,Art,0,7
failed,Crafts,0,1
failed,Fashion,0,1
failed,"Film & Video",0,3
failed,Food,0,1
successful,Art,0,4
successful,Comics,0,3
successful,Fashion,0,1
successful,"Film & Video",0,2
successful,Games,0,1
successful,Music,0,5
successful,Theater,0,2
failed,Crafts,0,1
failed,"Film & Video",0,1
successful,Fashion,0,1
successful,Art,0,1
failed,Fashion,0,1
failed,Publishing,0,1
successful,"Film & Video",0,1
successful,Publishing,0,2
failed,Art,0,1
failed,Art,0,1
failed,Fashion,0,1
failed,Art,0,1
successful,Comics,0,1
successful,"Film & Video",0,1
failed,Art,0,4
failed,Comics,0,1
failed,Design,0,1
failed,Fashion,0,3
failed,"Film & Video",0,4
failed,Games,0,1
failed,Music,0,2
failed,Publishing,0,2
failed,Technology,0,1
successful,Art,0,3
successful,Comics,0,1
successful,Crafts,0,1
successful,Design,0,2
successful,Fashion,0,4
successful,"Film & Video",0,4
successful,Food,0,1
successful,Music,0,5
successful,Photography,0,2
successful,Publishing,0,2
successful,Technology,0,1
successful,Theater,0,1
failed,Fashion,0,1
failed,Fashion,0,1
successful,Games,0,1
successful,Publishing,0,1
successful,Music,0,1
successful,Crafts,0,1
successful,Games,0,1
successful,Publishing,0,1
successful,Comics,0,1
failed,Art,0,2
failed,Crafts,0,2
failed,Design,0,1
failed,"Film & Video",0,1
failed,Food,0,1
failed,Games,0,1
failed,Publishing,0,1
successful,Art,0,2
successful,Crafts,0,2
successful,Games,0,1
successful,Music,0,2
successful,Photography,0,1
successful,Theater,0,1
successful,Food,0,1
failed,Technology,0,1
failed,Publishing,0,1
successful,Comics,0,1
successful,Music,0,1
failed,Art,0,25
failed,Comics,0,1
failed,Crafts,0,9
failed,Design,0,5
failed,Fashion,0,12
failed,"Film & Video",0,25
failed,Food,0,7
failed,Games,0,12
failed,Journalism,0,3
failed,Music,0,21
failed,Photography,0,4
failed,Publishing,0,16
failed,Technology,0,7
failed,Theater,0,1
successful,Art,0,18
successful,Comics,0,10
successful,Crafts,0,8
successful,Dance,0,1
successful,Design,0,17
successful,Fashion,0,8
successful,"Film & Video",0,26
successful,Food,0,7
successful,Games,0,23
successful,Journalism,0,3
successful,Music,0,28
successful,Photography,0,6
successful,Publishing,0,14
successful,Technology,0,4
successful,Theater,0,8
failed,"Film & Video",1,1
failed,Art,1,1
successful,Dance,1,1
failed,Art,1,2
failed,Crafts,1,1
failed,Design,1,1
failed,"Film & Video",1,1
failed,Music,1,1
failed,Publishing,1,1
successful,"Film & Video",1,3
successful,Music,1,3
successful,Publishing,1,1
failed,Fashion,1,1
successful,Games,1,1
successful,Publishing,1,1
successful,"Film & Video",1,1
successful,Music,1,1
failed,"Film & Video",1,1
failed,Art,1,5
failed,Crafts,1,1
failed,Design,1,1
failed,Fashion,1,2
failed,"Film & Video",1,7
failed,Games,1,1
failed,Music,1,7
failed,Publishing,1,7
failed,Technology,1,1
failed,Theater,1,2
successful,Art,1,8
successful,Comics,1,2
successful,Crafts,1,1
successful,Dance,1,1
successful,Design,1,2
successful,Fashion,1,2
successful,"Film & Video",1,11
successful,Games,1,4
successful,Music,1,9
successful,Photography,1,2
successful,Publishing,1,7
successful,Technology,1,1
successful,Theater,1,2
failed,Technology,1,1
successful,Art,1,2
failed,Art,1,1
successful,Games,1,1
failed,Crafts,1,2
failed,"Film & Video",1,1
failed,Food,1,1
failed,Music,1,1
failed,Photography,1,1
failed,Publishing,1,1
successful,Art,1,3
successful,Comics,1,1
successful,"Film & Video",1,4
successful,Food,1,1
successful,Music,1,1
successful,Photography,1,1
successful,Publishing,1,1
failed,Publishing,1,1
failed,Games,1,1
successful,Art,1,1
successful,Comics,1,1
successful,Journalism,1,1
failed,Journalism,1,1
failed,Art,1,3
failed,Comics,1,1
failed,Design,1,1
failed,Fashion,1,1
failed,"Film & Video",1,6
failed,Food,1,1
failed,Music,1,3
failed,Photography,1,3
failed,Publishing,1,3
failed,Technology,1,2
failed,Theater,1,1
successful,Art,1,2
successful,Comics,1,2
successful,Crafts,1,1
successful,"Film & Video",1,5
successful,Music,1,8
failed,Technology,1,1
successful,Publishing,1,1
successful,Theater,1,1
failed,Art,1,2
failed,Comics,1,1
failed,Crafts,1,1
failed,Fashion,1,1
failed,"Film & Video",1,5
failed,Food,1,2
failed,Games,1,2
failed,Music,1,5
failed,Publishing,1,4
failed,Theater,1,1
successful,Art,1,2
successful,Comics,1,1
successful,Crafts,1,2
successful,Dance,1,1
successful,Design,1,1
successful,"Film & Video",1,4
successful,Games,1,1
successful,Music,1,4
successful,Photography,1,1
successful,Publishing,1,5
successful,Theater,1,4
failed,Crafts,1,1
failed,Fashion,1,1
successful,Games,1,1
failed,"Film & Video",1,2
failed,Publishing,1,1
failed,Art,1,2
failed,Comics,1,2
failed,Crafts,1,1
failed,Dance,1,1
failed,Fashion,1,7
failed,"Film & Video",1,6
failed,Games,1,4
failed,Music,1,3
failed,Photography,1,3
failed,Publishing,1,9
failed,Technology,1,1
failed,Theater,1,1
successful,Art,1,7
successful,Comics,1,2
successful,Crafts,1,3
successful,Design,1,1
successful,Fashion,1,1
successful,"Film & Video",1,8
successful,Food,1,3
successful,Games,1,3
successful,Music,1,6
successful,Photography,1,1
successful,Publishing,1,4
successful,Technology,1,2
successful,Theater,1,4
failed,Fashion,1,3
failed,"Film & Video",1,1
failed,Music,1,3
failed,Publishing,1,4
successful,Art,1,2
successful,"Film & Video",1,1
successful,Food,1,2
successful,Music,1,1
successful,Photography,1,1
successful,Publishing,1,1
successful,Art,1,1
successful,Music,1,1
failed,Comics,1,1
successful,Games,1,1
failed,Food,1,1
failed,Publishing,1,1
failed,Art,1,2
failed,Comics,1,1
failed,"Film & Video",1,2
failed,Games,1,1
failed,Music,1,5
failed,Photography,1,1
failed,Publishing,1,3
failed,Theater,1,1
successful,Art,1,3
successful,Comics,1,1
successful,"Film & Video",1,5
successful,Music,1,2
successful,Publishing,1,2
successful,Theater,1,1
successful,Art,1,1
successful,Photography,1,1
failed,Publishing,1,1
failed,Music,1,1
failed,Publishing,1,1
failed,Technology,1,1
successful,Design,1,1
successful,Journalism,1,1
successful,Publishing,1,1
successful,Technology,1,1
failed,"Film & Video",1,1
successful,Theater,1,1
successful,Art,1,1
successful,"Film & Video",1,1
failed,Technology,1,1
failed,Art,1,1
failed,Comics,1,1
failed,Design,1,1
failed,Music,1,1
failed,Publishing,1,1
successful,"Film & Video",1,1
successful,Publishing,1,1
successful,Theater,1,1
failed,Art,1,15
failed,Crafts,1,18
failed,Dance,1,3
failed,Design,1,8
failed,Fashion,1,23
failed,"Film & Video",1,30
failed,Food,1,18
failed,Games,1,14
failed,Journalism,1,2
failed,Music,1,28
failed,Photography,1,9
failed,Publishing,1,34
failed,Technology,1,10
failed,Theater,1,9
successful,Art,1,19
successful,Comics,1,14
successful,Crafts,1,4
successful,Dance,1,2
successful,Design,1,11
successful,Fashion,1,6
successful,"Film & Video",1,52
successful,Food,1,3
successful,Games,1,20
successful,Journalism,1,1
successful,Music,1,55
successful,Photography,1,2
successful,Publishing,1,19
successful,Technology,1,10
successful,Theater,1,6
successful,Publishing,1,1
failed,Publishing,1,1
successful,Publishing,1,1
successful,"Film & Video",1,1
failed,Fashion,1,2
successful,Fashion,1,1
failed,Art,1,1
successful,Theater,1,1
failed,Art,1,1
successful,Music,1,1
successful,Design,1,1
failed,Crafts,1,1
failed,"Film & Video",1,2
failed,Journalism,1,1
failed,Music,1,3
failed,Publishing,1,1
successful,Art,1,1
successful,Comics,1,2
successful,Dance,1,1
successful,Fashion,1,1
successful,"Film & Video",1,1
successful,Comics,1,1
failed,Technology,1,1
failed,Music,1,1
successful,"Film & Video",1,1
failed,Design,1,1
failed,Art,1,1
successful,"Film & Video",1,1
failed,Art,1,6
failed,Comics,1,1
failed,Crafts,1,1
failed,Design,1,2
failed,Fashion,1,2
failed,"Film & Video",1,8
failed,Food,1,1
failed,Music,1,11
failed,Photography,1,2
failed,Publishing,1,1
failed,Technology,1,2
failed,Theater,1,1
successful,Art,1,2
successful,Comics,1,4
successful,Crafts,1,2
successful,Dance,1,1
successful,Design,1,3
successful,Fashion,1,1
successful,"Film & Video",1,12
successful,Food,1,3
successful,Games,1,2
successful,Music,1,13
successful,Photography,1,3
successful,Publishing,1,5
successful,Theater,1,3
successful,"Film & Video",1,1
failed,Art,1,1
successful,Art,1,1
failed,Art,1,1
failed,Design,1,2
failed,"Film & Video",1,1
failed,Food,1,1
failed,Games,1,1
failed,Music,1,1
failed,Publishing,1,1
failed,Technology,1,1
successful,Comics,1,3
successful,Dance,1,2
successful,"Film & Video",1,3
successful,Photography,1,1
successful,Publishing,1,1
successful,Theater,1,2
successful,Fashion,1,1
failed,Art,1,1
successful,Art,1,1
successful,Music,1,1
failed,Art,1,1
failed,Fashion,1,1
failed,Food,1,1
failed,Music,1,2
failed,Publishing,1,1
successful,Art,1,1
successful,"Film & Video",1,3
successful,Music,1,5
successful,Design,1,1
failed,Art,1,1
successful,Art,1,1
successful,Theater,1,1
failed,Publishing,1,1
successful,Publishing,1,1
failed,Design,1,2
failed,"Film & Video",1,1
failed,Games,1,2
failed,Music,1,2
successful,"Film & Video",1,3
successful,Food,1,1
successful,Journalism,1,1
successful,Music,1,1
successful,Publishing,1,1
successful,Theater,1,1
successful,Publishing,1,1
successful,Publishing,1,1
successful,"Film & Video",1,1
successful,Music,1,1
failed,Art,2,6
failed,Comics,2,5
failed,Crafts,2,6
failed,Dance,2,1
failed,Design,2,2
failed,Fashion,2,10
failed,"Film & Video",2,18
failed,Food,2,3
failed,Games,2,9
failed,Journalism,2,1
failed,Music,2,27
failed,Photography,2,8
failed,Publishing,2,27
failed,Technology,2,4
failed,Theater,2,8
successful,Art,2,13
successful,Comics,2,10
successful,Crafts,2,3
successful,Dance,2,3
successful,Design,2,7
successful,Fashion,2,2
successful,"Film & Video",2,24
successful,Food,2,2
successful,Games,2,6
successful,Music,2,48
successful,Publishing,2,11
successful,Technology,2,6
successful,Theater,2,12
successful,Music,2,1
failed,Fashion,2,1
successful,Fashion,2,1
successful,Photography,2,1
failed,Technology,2,1
successful,Music,2,1
failed,Music,2,1
successful,Music,2,1
failed,Design,2,1
failed,Fashion,2,1
failed,Music,2,2
failed,Technology,2,1
successful,Art,2,1
successful,Dance,2,1
successful,"Film & Video",2,3
successful,Food,2,2
successful,Games,2,2
successful,Journalism,2,1
successful,Music,2,6
successful,Photography,2,1
successful,Theater,2,4
failed,Art,2,1
successful,Technology,2,1
failed,Crafts,2,1
failed,Fashion,2,1
failed,"Film & Video",2,1
failed,Music,2,1
failed,Photography,2,1
successful,Art,2,1
successful,"Film & Video",2,1
successful,Games,2,1
successful,Music,2,1
successful,Photography,2,1
successful,Publishing,2,2
successful,Theater,2,1
failed,Publishing,2,1
successful,Music,2,1
successful,"Film & Video",2,1
failed,Music,2,1
failed,"Film & Video",2,2
failed,Food,2,1
failed,Publishing,2,1
successful,Comics,2,1
successful,Fashion,2,1
successful,Music,2,1
successful,Photography,2,1
successful,Publishing,2,1
successful,Music,2,1
failed,Fashion,2,1
failed,Art,2,2
failed,Fashion,2,1
failed,"Film & Video",2,1
failed,Food,2,1
failed,Music,2,1
successful,Art,2,2
successful,Music,2,2
failed,Design,2,1
failed,Publishing,2,1
failed,Fashion,2,1
failed,Art,2,1
failed,Comics,2,1
failed,Fashion,2,3
failed,"Film & Video",2,4
failed,Music,2,3
failed,Photography,2,1
failed,Publishing,2,2
successful,Art,2,2
successful,Crafts,2,1
successful,Fashion,2,2
successful,"Film & Video",2,1
successful,Food,2,1
successful,Games,2,2
successful,Journalism,2,2
successful,Music,2,1
successful,Publishing,2,2
successful,Theater,2,1
failed,Music,2,1
failed,Art,2,1
failed,Music,2,1
successful,Art,2,1
successful,Food,2,1
failed,Art,2,1
failed,"Film & Video",2,1
failed,Technology,2,1
successful,"Film & Video",2,1
successful,Music,2,1
failed,"Film & Video",2,1
failed,Music,2,1
successful,Music,2,1
failed,Publishing,2,1
failed,Journalism,2,1
failed,Design,2,1
successful,Art,2,1
failed,Music,2,1
failed,Art,2,16
failed,Comics,2,11
failed,Crafts,2,5
failed,Dance,2,3
failed,Design,2,13
failed,Fashion,2,16
failed,"Film & Video",2,39
failed,Food,2,12
failed,Games,2,14
failed,Journalism,2,1
failed,Music,2,36
failed,Photography,2,8
failed,Publishing,2,38
failed,Technology,2,10
failed,Theater,2,4
successful,Art,2,20
successful,Comics,2,7
successful,Crafts,2,3
successful,Dance,2,3
successful,Design,2,7
successful,Fashion,2,1
successful,"Film & Video",2,27
successful,Food,2,2
successful,Games,2,11
successful,Music,2,67
successful,Photography,2,6
successful,Publishing,2,25
successful,Technology,2,3
successful,Theater,2,15
successful,Music,2,1
failed,Crafts,2,1
successful,Comics,2,1
successful,Food,2,1
successful,Publishing,2,1
successful,Music,2,1
successful,Journalism,2,1
failed,"Film & Video",2,1
failed,Art,2,1
failed,Crafts,2,1
failed,Design,2,1
failed,"Film & Video",2,3
failed,Publishing,2,4
successful,Music,2,1
successful,Publishing,2,1
failed,Music,2,1
successful,Music,2,1
successful,Publishing,2,1
failed,Publishing,2,1
successful,Design,2,1
successful,Food,2,1
failed,Photography,2,1
failed,Comics,2,1
successful,Comics,2,1
failed,Comics,2,1
failed,Design,2,1
failed,Fashion,2,2
failed,"Film & Video",2,3
failed,Food,2,1
failed,Journalism,2,1
failed,Music,2,6
failed,Photography,2,1
failed,Publishing,2,1
successful,Art,2,1
successful,Comics,2,1
successful,Crafts,2,1
successful,"Film & Video",2,2
successful,Games,2,2
successful,Music,2,7
successful,Photography,2,1
successful,Publishing,2,2
successful,Theater,2,2
successful,Music,2,1
successful,Theater,2,1
successful,Publishing,2,1
failed,"Film & Video",2,1
failed,Music,2,1
failed,Photography,2,1
failed,Publishing,2,1
successful,Music,2,1
failed,Art,2,2
failed,Fashion,2,1
failed,"Film & Video",2,1
failed,Music,2,4
failed,Publishing,2,1
failed,Technology,2,1
failed,Theater,2,1
successful,Art,2,1
successful,Dance,2,1
successful,"Film & Video",2,1
successful,Music,2,1
successful,Publishing,2,1
failed,Publishing,2,1
failed,Technology,2,1
failed,Photography,2,1
successful,Photography,2,1
failed,Technology,2,1
failed,Comics,2,1
failed,Design,2,1
failed,Food,2,1
failed,Music,2,3
failed,Publishing,2,1
failed,Technology,2,1
successful,Design,2,2
successful,Music,2,3
successful,Photography,2,1
successful,Theater,2,1
failed,Music,2,1
successful,Design,2,1
successful,"Film & Video",2,1
failed,"Film & Video",2,1
successful,Art,2,1
failed,Art,2,15
failed,Comics,2,4
failed,Crafts,2,5
failed,Dance,2,2
failed,Design,2,9
failed,Fashion,2,10
failed,"Film & Video",2,34
failed,Food,2,8
failed,Games,2,11
failed,Journalism,2,1
failed,Music,2,40
failed,Photography,2,5
failed,Publishing,2,25
failed,Technology,2,9
failed,Theater,2,5
successful,Art,2,21
successful,Comics,2,4
successful,Crafts,2,1
successful,Dance,2,4
successful,Design,2,6
successful,Fashion,2,3
successful,"Film & Video",2,37
successful,Food,2,3
successful,Games,2,9
successful,Journalism,2,1
successful,Music,2,35
successful,Photography,2,3
successful,Publishing,2,19
successful,Technology,2,6
successful,Theater,2,14
successful,Dance,3,1
failed,Games,3,1
failed,Fashion,3,1
failed,Design,3,1
failed,Theater,3,1
successful,"Film & Video",3,1
failed,Publishing,3,1
failed,Dance,3,1
failed,Fashion,3,2
failed,"Film & Video",3,2
failed,Music,3,1
failed,Photography,3,1
failed,Publishing,3,1
successful,Art,3,1
successful,Comics,3,1
successful,Design,3,1
successful,"Film & Video",3,3
failed,Games,3,1
failed,Design,3,1
successful,"Film & Video",3,1
successful,"Film & Video",3,1
failed,Art,3,1
failed,Dance,3,1
failed,Design,3,1
failed,"Film & Video",3,2
failed,Food,3,1
failed,Games,3,1
failed,Music,3,1
failed,Publishing,3,1
failed,Theater,3,1
successful,Comics,3,1
successful,Journalism,3,1
successful,Music,3,2
successful,Photography,3,1
