year,campaign_length_in_days,goal,pledged,backers,outcome
2013,30,1500,9071,164,successful
2015,30,7000,1752,38,failed
2015,30,8000,1643,55,failed
2013,8,88,4587,155,successful
2013,30,15000,3221,50,failed
2011,30,500,813,30,successful
2014,30,250000,0,0,failed
2015,32,6500,8076,242,successful
2013,25,2000,14851,178,successful
2014,30,1000,1135,21,successful
2015,30,500,901,25,successful
2014,20,10000,28490.42,572,successful
2016,31,15000,2480,74,failed
2015,31,22000,13066,226,failed
2012,56,2500,11305,283,successful
2013,30,7000,237,13,failed
2010,46,3000,3327,48,successful
2014,33,45000,2363,40,failed
2015,31,1650,25206,1880,successful
2017,31,15000,44873,1433,successful
2015,32,16000,6023,123,failed
2013,45,25000,1977,13,failed
2016,22,1000,1516,48,successful
2012,59,12500,278,8,failed
2017,30,10000,461,10,failed
2015,44,2000,4653,99,successful
2016,30,5000,5727.01,130,successful
2013,30,7000,189,5,failed
2015,28,10000,224,8,failed
2016,43,7200,3496,47,failed
2013,30,1800,2136,65,successful
2015,30,10000,10215,62,successful
2017,30,100,2043,37,successful
2012,45,25000,65980.72,942,successful
2016,30,37323,3011,52,failed
2016,30,18000,45198.5,879,successful
2017,23,3000,470,10,failed
2015,30,37000,10333,152,failed
2017,28,1000,84356,892,successful
2013,13,2700,2,1,failed
2017,27,6000,10799,427,successful
2016,30,9000,11252,356,successful
2012,40,14000,8171,202,failed
2017,25,3500,9158,61,successful
2014,33,2000,2000,8,successful
2014,42,8400,601,18,failed
2016,30,15000,6,3,failed
2012,30,5000,6050,221,successful
2014,30,100,20,4,failed
2013,36,100000,346772.24,3293,successful
2013,30,16500,13348,431,failed
2016,60,4000,4973,78,successful
2016,60,6000,6156,44,successful
2013,48,14000,8077,224,failed
2012,30,500,1002.72,48,successful
2016,33,10000,687,27,failed
2016,30,2500,2990,52,successful
2012,45,15000,210237.42,2045,successful
2014,30,10000,295,11,failed
2017,34,3800,3939,60,successful
2015,30,1000,2176,23,successful
2017,45,12500,3206,65,failed
2016,7,10000,98409.52,5119,successful
2016,30,10000,10617,86,successful
2017,32,30000,27268,177,failed
2012,30,25000,28083,20,successful
2016,36,18000,23234.95,491,successful
2017,5,10,74,37,successful
2017,30,1000,1001,62,successful
2016,30,5500,298,8,failed
2014,38,25000,2978,56,failed
2014,30,12000,76,3,failed
2011,46,5000,34436.65,814,successful
2017,31,20000,143555,1623,successful
2017,27,6500,33154,566,successful
2013,31,56000,123.51,7,failed
2015,35,7500,5848,51,failed
2017,31,3600,3668,120,successful
2017,34,10000,477,13,failed
2016,30,900,64,7,failed
2014,27,20000,45450.13,903,successful
2011,36,5000,5130.01,117,successful
2017,45,12300,4858,37,failed
2014,15,5000,2490,122,failed
2016,25,7500,89886,1994,successful
2014,28,2000,423,16,failed
2015,37,7000,9473,221,successful
2011,60,20000,31632.25,487,successful
2013,45,10000,1403,42,failed
2012,40,12000,1641,14,failed
2017,31,8800,38123,957,successful
2013,45,30000,100273,236,successful
2013,30,3500,4063,60,successful
2015,60,1000,14976.09,826,successful
2017,29,5000,63702,1591,successful
2012,43,18000,1957,46,failed
2016,30,1000,1039.16,30,successful
2016,30,15750,402,12,failed
2017,21,5000,7285,30,successful
2015,37,1000,5209,53,successful
2015,30,4000,38,6,failed
2013,24,500,4393,353,successful
2012,30,30000,6231,97,failed
2016,30,12000,12136,197,successful
2015,27,9000,24069,603,successful
2014,33,500,965,78,successful
2013,25,25000,631230.58,13765,successful
2016,51,8000,29538,805,successful
2014,10,1000,12071,298,successful
2016,15,4200,8223.11,46,successful
2012,30,5000,8732,114,successful
2013,13,10000,16410.5,811,successful
2015,29,8000,13160,473,successful
2012,31,2000,2819.77,99,successful
2014,25,20000,1516,25,failed
2017,30,6000,9143,259,successful
2015,15,50,201,9,successful
2016,30,5000,23686,572,successful
2013,30,24000,28987.12,681,successful
2014,26,80000,18649.51,176,failed
2015,23,19000,134348,2489,successful
2014,20,12500,14181,340,successful
2013,30,35000,5236,138,failed
2012,30,6000,1202.25,45,failed
2017,30,28000,32508,403,successful
2013,33,30000,1341305.03,4727,successful
2014,29,35000,50462,1014,successful
2013,30,25000,551,14,failed
2017,21,4000,4782,269,successful
2015,32,15000,17550,471,successful
2017,30,50000,18436,214,failed
2013,26,16000,26671,500,successful
2016,45,4097,355970.82,7305,successful
2012,31,3500,5885,201,successful
2012,30,10000,10951,127,successful
2015,30,50000,30,1,failed
2013,39,10000,10569.32,283,successful
2016,16,20000,84811.52,1679,successful
2017,32,2000,535,5,failed
2014,41,8000,9451,131,successful
2014,32,25000,39352.75,697,successful
2017,34,5000,40025,442,successful
2015,30,5000,20,1,failed
2012,33,4500,5075,97,successful
2017,36,14500,26788,696,successful
2013,30,8300,20512,184,successful
2013,30,100000,5161,90,failed
2012,30,5000,5252.2,71,successful
2013,31,7500,3344,149,failed
2014,48,2530,637,17,failed
2014,30,2000,4171,131,successful
2013,30,7000,7551.66,103,successful
2017,20,4000,5732,101,successful
2017,22,7500,17123.16,621,successful
2016,34,500,1,1,failed
2015,30,15000,22355,285,successful
2013,38,12000,6728,139,failed
2013,30,15000,111661.04,2127,successful
2013,30,15000,6,2,failed
2017,33,3000,6192,198,successful
2014,33,3000,9031.16,385,successful
2017,35,8000,2478,68,failed
2017,45,25000,56,1,failed
2016,30,25000,6757,56,failed
2012,30,1000,1105,39,successful
2017,16,10000,42468,965,successful
2013,31,8000,4076,102,failed
2017,30,875,12508,199,successful
2016,30,3000,10016,123,successful
2016,30,10000,21393.69,606,successful
2016,12,1600,2038,40,successful
2014,41,10000,24924,291,successful
2015,30,10000,65465.66,1768,successful
2017,31,75000,92264,1825,successful
2015,30,3000,4822,146,successful
2012,39,6000,1076,29,failed
2012,31,20000,48168,320,successful
2015,31,8000,30722,262,successful
2017,30,2500,526,23,failed
2014,30,3000,1487.01,57,failed
2012,30,1500,172,7,failed
2015,30,5000,6167,86,successful
2011,60,5000,6501,299,successful
2013,35,25000,480,27,failed
2016,31,16000,9467,202,failed
2012,60,15000,15675,229,successful
2015,31,800,529,21,failed
2015,30,10000,68208.02,677,successful
2016,22,40000,459147.6,6100,successful
2017,34,12000,985,22,failed
2011,60,3000,1621,41,failed
2016,22,5000,30013.52,1034,successful
2017,7,500,1780,135,successful
2012,30,750,85,3,failed
2015,30,250000,1546269.5,8396,successful
2016,30,7100,61743,1265,successful
2015,30,600,828,23,successful
2016,29,10000,115685.95,2858,successful
2017,30,5000,186,9,failed
2013,40,500,3730.72,62,successful
2015,29,425,2716,87,successful
2016,31,6000,27586,670,successful
2016,31,6000,6620.01,213,successful
2017,37,25000,390,15,failed
2017,21,250,1026,35,successful
2017,21,4000,9864,61,successful
2014,27,10000,17867,394,successful
2017,60,60000,787,10,failed
2015,18,250,2397,47,successful
2015,21,1000,5689,243,successful
2012,10,2000,24157,420,successful
2016,30,3000,9844,149,successful
2014,36,20000,5307,45,failed
2016,31,7000,7720,200,successful
2015,30,9000,9130,89,successful
2015,30,30000,423,16,failed
2013,32,6000,14320,702,successful
2017,32,13,1266.99,63,successful
2013,30,5000,143,6,failed
2016,25,6000,7508,140,successful
2013,30,110000,8541,130,failed
2017,33,1000,11662,156,successful
2013,17,20000,34101.01,977,successful
2015,30,18500,139,3,failed
2014,30,800,1622,35,successful
2013,30,41000,4541,67,failed
2014,30,20000,25182,206,successful
2016,32,6900,291,8,failed
2017,30,5000,6206.99,129,successful
2014,30,500,1005,26,successful
2016,30,1000,34972,747,successful
2015,30,6000,9756,65,successful
2017,31,10000,11933,147,successful
2017,22,2500,10070,120,successful
2013,19,5000,9087,176,successful
2015,30,14000,159,4,failed
2017,20,5000,12776,707,successful
2015,31,5000,5204,199,successful
2010,90,2000,0,0,failed
2017,30,9000,40437,854,successful
2012,30,40000,101,3,failed
2013,30,16000,10027,142,failed
2016,30,5972,6023,235,successful
2017,28,100000,3999795.77,40642,successful
2013,5,500,6425.06,262,successful
2015,14,500,2380,60,successful
2014,60,5000,6237.5,57,successful
2013,34,2500,2026.21,48,failed
2013,30,500,1322,35,successful
2016,24,30000,24688,464,failed
2014,30,5000,244,13,failed
2011,31,2500,140,7,failed
2015,18,40000,26271,591,failed
2016,29,10000,45159,1105,successful
2012,30,400,268,12,failed
2016,30,500,1133,55,successful
2013,44,5500,44183.99,469,successful
2017,8,500,7654,149,successful
2016,24,5000,1607,22,failed
2013,30,11000,845,16,failed
2014,30,25000,79744.47,1644,successful
2015,29,25000,56624,963,successful
2016,22,15000,15628,172,successful
2016,30,12500,334,17,failed
2015,30,4000,7888,213,successful
2017,20,2200,6444,198,successful
2015,30,7500,5422,148,failed
2012,30,5000,6471,280,successful
2016,34,20000,88936.01,2994,successful
2017,30,30000,144682,2726,successful
2016,29,6000,10876,215,successful
2017,9,25,173,40,successful
2016,30,1000,15158,335,successful
2017,30,15800,25076,494,successful
2011,30,25000,110,2,failed
2017,19,75000,629460,3725,successful
2013,36,500,32547,416,successful
2011,55,5000,600,25,failed
2014,30,8000,15058,270,successful
2015,44,2500,0,0,failed
2016,20,1200,10369,34,successful
2015,34,7500,28278,699,successful
2015,36,500,4565,93,successful
2017,45,2608,348,2,failed
2014,16,2500,1366,75,failed
2013,31,18000,20680,394,successful
2014,30,9000,3536,87,failed
2016,30,4250,507,22,failed
2013,35,12000,3176,116,failed
2015,36,15000,18721.51,337,successful
2017,29,10000,36127.5,445,successful
2016,30,560,878,56,successful
2017,35,14500,1242,23,failed
2015,32,200,4060,106,successful
2017,31,1500,5603,177,successful
2014,34,3000,11327,604,successful
2015,30,11400,3245,74,failed
2014,35,6000,6641,162,successful
2014,30,7500,7986,85,successful
2017,31,49000,260,10,failed
2012,30,4200,272.48,15,failed
2014,60,75000,426,12,failed
2015,32,15000,3861,120,failed
2011,60,4175,8042.35,222,successful
2017,30,6000,110,2,failed
2016,30,19750,149681,4332,successful
2017,30,4000,4479,174,successful
2014,30,10000,14692,392,successful
2016,30,5000,320890,3768,successful
2016,34,65000,36980.87,272,failed
2013,37,5000,23307,203,successful
2017,30,500,1181,80,successful
2013,30,12000,16179,265,successful
2014,60,38000,1,1,failed
2017,14,20000,12650,162,failed
2015,30,1000,20270,916,successful
2014,31,30000,11149,236,failed
2013,45,39500,66610,597,successful
2014,13,1000,5710,542,successful
2013,20,6000,9234,196,successful
2017,30,2000,1342,35,failed
2013,30,60000,75232.5,822,successful
2017,30,8000,14485,185,successful
2016,30,2000,574.66,27,failed
2016,29,10000,21223,1183,successful
2017,30,11500,12960,162,successful
2013,60,2000,3271,124,successful
2014,38,5000,69362,461,successful
2015,30,10000,10786,44,successful
2012,30,20000,20732.2,326,successful
2015,30,6000,860,26,failed
2016,35,5000,4189,44,failed
2012,44,30000,243945.43,1546,successful
2017,20,500,17064,685,successful
2014,21,20000,588,33,failed
2013,30,1000,5680,152,successful
2017,9,2000,21005,327,successful
2015,29,18000,704,14,failed
2013,30,2200,3237,71,successful
2015,24,450,15415.1,4015,successful
2013,39,3700,5928,128,successful
2016,31,25000,108362,2109,successful
2013,30,30000,59763.81,765,successful
2016,36,49000,263852.4,3028,successful
2016,30,11000,124,5,failed
2015,30,2500,759,14,failed
2014,30,10000,89,8,failed
2013,23,17000,18294,336,successful
2016,30,15000,18230.52,406,successful
2016,30,5000,1078,14,failed
2014,35,1000,1094,54,successful
